Dag;TA 01;TA 07;TA 13;TA 19;TAM;TAX;TAN;NN 01;NN 07;NN 13;NN 19;RR 01;RR 07;RR 13;RR 19;RR
1;0.1;-0.5;-0.3;-3.7;-1.2;2.0;-3.7;NA;NA;NA;NA;NA;NA;NA;NA;NA
2;-4.8;-4.9;-4.3;-6.2;-4.9;-2.8;-6.6;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;-6.0;-7.3;-0.1;-2.7;-3.8;0.9;-8.5;NA;NA;NA;NA;NA;NA;NA;NA;NA
4;-1.5;-3.0;-4.9;-11.2;-6.9;-0.5;-11.7;NA;NA;NA;NA;NA;NA;NA;NA;NA
5;-17.3;-18.4;-15.5;-15.1;-17.1;-10.5;-19.2;NA;NA;NA;NA;NA;NA;NA;NA;NA
6;-17.5;-14.1;-10.7;-9.0;-11.7;-9.0;-18.8;NA;NA;NA;NA;NA;NA;NA;NA;NA
7;-4.1;-0.2;-0.4;-2.0;-2.1;2.6;-9.4;NA;NA;NA;NA;NA;NA;NA;NA;NA
8;-10.6;-8.3;-1.3;4.7;-3.4;5.2;-12.0;NA;NA;NA;NA;NA;NA;NA;NA;NA
9;-2.6;-2.4;1.0;-0.2;-0.6;4.7;-2.8;NA;NA;NA;NA;NA;NA;NA;NA;NA
10;-0.3;0.3;-0.2;-0.9;-0.3;0.4;-1.4;NA;NA;NA;NA;NA;NA;NA;NA;NA
11;0.9;1.0;0.4;-0.4;0.1;1.7;-1.3;NA;NA;NA;NA;NA;NA;NA;NA;NA
12;-2.2;-4.9;-1.4;-2.8;-3.7;-0.3;-6.5;NA;NA;NA;NA;NA;NA;NA;NA;NA
13;-8.1;-15.6;-14.9;-3.7;-9.3;-1.9;-16.9;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;-3.2;-4.2;-5.3;-6.3;-5.1;-1.5;-7.7;NA;NA;NA;NA;NA;NA;NA;NA;NA
15;-7.6;-7.5;-7.6;-9.6;-9.8;-5.4;-10.2;NA;NA;NA;NA;NA;NA;NA;NA;NA
16;-19.2;-21.8;-20.1;-15.0;-18.2;-9.6;-22.9;NA;NA;NA;NA;NA;NA;NA;NA;NA
